author_name,text_title,event_id,start_page_event,end_page_event,page_event_number,line,text_place_title,temporality,narrative_status,interaction,specific_interaction,violence,harmony,conflict,character_id,family_name,given_name,nickname,page_first_mentioned,gender,number,religion,relig_att_char,religious_conversion,vitality,cause_of_death,non-human,country_of_birth,presentmentioned,char_story_title,place_name,location_modality,location_religion,relig_att_loc,geolocation,ontology,location_name,mentioned,location_country,wkt,collection_id,collection_recordtitle,author_birth_location,gender_author,country_of_birth_author,birth_date,text_place_id,location_id,author_id,author_birth_place_id
"Singh, Kushwant",Train to Pakistan,126,12,12,1,"Juggut Singh stretched out his hands over his head and behind him, groping;",Sutlej River in Train to Pakistan,NA,NA,NA,NA,NA,NA,NA,112,Singh,Juggut,NA,9,Male,Single,Sikh,Speculation,NA,NA,NA,NA,NA,Present,"Singh, Juggut in Train to Pakistan",Sutlej River,Public,Unknown,Other-identified.Narrator other-attributed,CREATED,NA,Mano Majra,NA,India,NA,NA,NA,Hadali,Male,Pakistan,2 Feb  1915,128,119,26,27
"Singh, Kushwant",Train to Pakistan,126,12,12,1,"Juggut Singh stretched out his hands over his head and behind him, groping;",Sutlej River in Train to Pakistan,NA,NA,NA,NA,NA,NA,NA,118,Nooran,Unknown,NA,9,Female,Single,Muslim,Other-identified.Character other-attributed,NA,NA,NA,NA,NA,Present,"Nooran, Unknown in Train to Pakistan",Sutlej River,Public,Unknown,Other-identified.Narrator other-attributed,CREATED,NA,Mano Majra,NA,India,NA,NA,NA,Hadali,Male,Pakistan,2 Feb  1915,128,119,26,27
"Sahni, Bhisham",Tamas,135,137,137,1,"'We want numbers, only numbers! Why don't you understand?",Relief Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,136,Relief Committee,Statistics Babu,NA,137,Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Relief Committee, Statistics Babu in Tamas",Relief Committee Office,Public,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,137,NA,32,33
"Sahni, Bhisham",Tamas,138,137,137,2,"But Kartar Singh, seated across the table from him",Relief Committee Office in Tamas,NA,NA,NA,NA,NA,NA,Religion,139,Singh,Kartar,NA,137,Male,Single,Sikh,Nominal,NA,NA,NA,NA,NA,Present,"Singh, Kartar in Tamas",Relief Committee Office,Public,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,137,NA,32,33
"Sahni, Bhisham",Tamas,138,137,137,2,"But Kartar Singh, seated across the table from him",Relief Committee Office in Tamas,NA,NA,NA,NA,NA,NA,Religion,136,Relief Committee,Statistics Babu,NA,137,Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Relief Committee, Statistics Babu in Tamas",Relief Committee Office,Public,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,137,NA,32,33
"Sahni, Bhisham",Tamas,140,137,138,3,'Name?' 'Harnam Singh.' 'Father's name?' 'Sardar Gur Dayal Singh',Relief Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,136,Relief Committee,Statistics Babu,NA,137,Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Relief Committee, Statistics Babu in Tamas",Relief Committee Office,Public,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,137,NA,32,33
"Sahni, Bhisham",Tamas,140,137,138,3,'Name?' 'Harnam Singh.' 'Father's name?' 'Sardar Gur Dayal Singh',Relief Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,141,Singh,Harnam,NA,99,Male,Single,Sikh,Nominal,NA,NA,NA,NA,NA,Present,"Singh, Harnam in Tamas",Relief Committee Office,Public,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,137,NA,32,33
"Sahni, Bhisham",Tamas,142,138,139,1,"'Oh, Babu ji, who knows if my Sukhwant really jumped into",Relief Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,136,Relief Committee,Statistics Babu,NA,137,Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Relief Committee, Statistics Babu in Tamas",Relief Committee Office,Public,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,137,NA,32,33
"Sahni, Bhisham",Tamas,142,138,139,1,"'Oh, Babu ji, who knows if my Sukhwant really jumped into",Relief Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,143,Refugee 1,Unknown,NA,138,Male,Single,Sikh,Nominal,NA,NA,NA,NA,NA,Present,"Refugee 1, Unknown in Tamas",Relief Committee Office,Public,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,137,NA,32,33
"Sahni, Bhisham",Tamas,144,139,140,1,Statistics Babu was still standing on the balcony when,Relief Committee Office in Tamas,NA,NA,NA,NA,NA,NA,Interpersonal,136,Relief Committee,Statistics Babu,NA,137,Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Relief Committee, Statistics Babu in Tamas",Relief Committee Office,Public,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,137,NA,32,33
"Sahni, Bhisham",Tamas,144,139,140,1,Statistics Babu was still standing on the balcony when,Relief Committee Office in Tamas,NA,NA,NA,NA,NA,NA,Interpersonal,230,Refugee,Unknown 2,NA,139,Male,Single,Sikh,Nominal,NA,NA,NA,NA,NA,Present,"Refugee, Unknown 2 in Tamas",Relief Committee Office,Public,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,137,NA,32,33
"Sahni, Bhisham",Tamas,145,140,140,1,"The evening before, Dev Dutt had come by",Relief Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,136,Relief Committee,Statistics Babu,NA,137,Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Relief Committee, Statistics Babu in Tamas",Relief Committee Office,Public,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,137,NA,32,33
"Sahni, Bhisham",Tamas,145,140,140,1,"The evening before, Dev Dutt had come by",Relief Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,146,Dutt,Dev,NA,140,Male,Single,Hindu,Nominal,NA,NA,NA,NA,NA,Present,"Dutt, Dev in Tamas",Relief Committee Office,Public,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,137,NA,32,33
"Sahni, Bhisham",Tamas,157,76,76,2,The grain market still burned,Grain Market in Tamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Present,NA,Grain Market,Public,Unknown,Definitional,NA,NA,NA,NA,NA,NA,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,195,NA,32,33
