,fid,text_title,event_id,start_page_event,page_event_number,text_place_title,character_id,family_name,given_name,page_first_mentioned,number,religion,relig_att_char,country_of_birth,place_name,location_religion,relig_att_loc,geolocation,location_name,location_country,author_birth_location,country_of_birth_author,text_place_id,location_id,author_id,author_birth_place_id,full_name,event_order,initial_country,final_country,initial_place,final_place,has_changed,has_immigrated
0,1,Tamas,165,27,1,Top of hill (Alexander valley) in Tamas,167.0,Deputy Commissioner,Richard,27.0,Single,Christian,Speculation,,Top of hill (Alexander valley),Unknown,Other-identified.Character other-attributed,CREATED,Hindu Kush,Pakistan,Rawalpindi,Pakistan,176,2991,32,33,Deputy Commissioner Richard,27.01,Pakistan,Pakistan,Hindu Kush,Rawalpindi,False,False
1,2,Tamas,165,27,1,Top of hill (Alexander valley) in Tamas,169.0,Richard's wife,Liza,27.0,Single,Christian,Speculation,,Top of hill (Alexander valley),Unknown,Other-identified.Character other-attributed,CREATED,Hindu Kush,Pakistan,Rawalpindi,Pakistan,176,2991,32,33,Richard's wife Liza,27.01,Pakistan,Pakistan,Hindu Kush,Hindu Kush,False,False
2,3,Sunlight on a Broken Column,314,156,1,"Lucknow, India in Sunlight on a Broken Column",341.0,Viceroy,Unknown,156.0,Single,Christian,Speculation,,"Lucknow, India",Unknown|Unaffiliated,,CREATED,Lucknow University,India,Lucknow,India,370,22,21,5819,Viceroy Unknown,156.01,India,India,Lucknow University,Lucknow University,False,False
3,4,Sunlight on a Broken Column,314,156,1,"Lucknow, India in Sunlight on a Broken Column",318.0,Hasan,Zahra,14.0,Single,Muslim,,,"Lucknow, India",Unknown|Unaffiliated,,CREATED,Lucknow University,India,Lucknow,India,370,22,21,5819,Hasan Zahra,156.01,India,India,Lucknow University,Lucknow University,False,False
4,5,Pinjar,333,13,1,Rashida's home in Pinjar,297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Shaikh Rashida,13.01,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
5,6,Pinjar,335,14,1,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Sahukars Pooro,14.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
6,7,Pinjar,336,14,2,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Sahukars Pooro,14.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
7,8,Pinjar,337,14,3,"Pooro's home, Chatto village in Pinjar",248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,338,3112,35,36,Sahukars Pooro,14.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
8,9,Pinjar,339,15,1,"Pooro's home, Chatto village in Pinjar",297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,338,3112,35,36,Shaikh Rashida,15.01,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
9,10,Pinjar,342,15,1,"Pooro's home, Chatto village in Pinjar",297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,338,3112,35,36,Shaikh Rashida,15.01,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
