author_name,text_title,event_id,start_page_event,end_page_event,page_event_number,line,text_place_title,temporality,narrative_status,interaction,specific_interaction,violence,harmony,conflict,character_id,family_name,given_name,nickname,page_first_mentioned,gender,number,religion,relig_att_char,religious_conversion,vitality,cause_of_death,non-human,country_of_birth,presentmentioned,char_story_title,place_name,location_modality,location_religion,relig_att_loc,geolocation,ontology,location_name,mentioned,location_country,wkt,collection_id,collection_recordtitle,author_birth_location,gender_author,country_of_birth_author,birth_date,text_place_id,location_id,author_id,author_birth_place_id
"Sahni, Bhisham",Tamas,165,27,28,1,The two of them halted their horses,Top of hill (Alexander valley) in Tamas,NA,NA,NA,NA,NA,NA,NA,167,Deputy Commissioner,Richard,NA,27,Male,Single,Christian,Speculation,NA,NA,NA,NA,NA,Present,"Deputy Commissioner, Richard in Tamas",Top of hill (Alexander valley),Public,Unknown,Other-identified.Character other-attributed,CREATED,NA,Hindu Kush,NA,Pakistan,POINT(73.278809 36.897194),NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,176,2991,32,33
"Sahni, Bhisham",Tamas,165,27,28,1,The two of them halted their horses,Top of hill (Alexander valley) in Tamas,NA,NA,NA,NA,NA,NA,NA,169,Richard's wife,Liza,NA,27,Female,Single,Christian,Speculation,NA,NA,NA,NA,NA,Present,"Richard's wife, Liza in Tamas",Top of hill (Alexander valley),Public,Unknown,Other-identified.Character other-attributed,CREATED,NA,Hindu Kush,NA,Pakistan,POINT(73.278809 36.897194),NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,176,2991,32,33
"Hosain, Attia",Sunlight on a Broken Column,314,156,156,1,THE day after the reception the Viceroy was,"Lucknow, India in Sunlight on a Broken Column",NA,NA,NA,NA,NA,NA,NA,341,Viceroy,Unknown,NA,156,Male,Single,Christian,Speculation,NA,NA,NA,NA,NA,Present,"Viceroy, Unknown in Sunlight on a Broken Column","Lucknow, India",Geographical reference,Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,NA,India,POINT(80.936033 26.863315),NA,NA,Lucknow,Female,India,1913,370,22,21,5819
"Hosain, Attia",Sunlight on a Broken Column,314,156,156,1,THE day after the reception the Viceroy was,"Lucknow, India in Sunlight on a Broken Column",NA,NA,NA,NA,NA,NA,NA,318,Hasan,Zahra,NA,14,Female,Single,Muslim,NA,NA,NA,NA,NA,NA,Present,"Hasan, Zahra in Sunlight on a Broken Column","Lucknow, India",Geographical reference,Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,NA,India,POINT(80.936033 26.863315),NA,NA,Lucknow,Female,India,1913,370,22,21,5819
"Pritam, Amrita",Pinjar,333,13,13,1,He had robbed her of her birthright,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,Religion,297,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,"Shaikh, Rashida in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,POINT(73.548589 32.544534),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,334,3114,35,36
"Pritam, Amrita",Pinjar,335,14,14,1,At night she stole the key of the door,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,Religion,248,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,POINT(73.548589 32.544534),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,334,3114,35,36
"Pritam, Amrita",Pinjar,336,14,14,2,unlocked the door and stepped out of her prison.,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,NA,248,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,POINT(73.548589 32.544534),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,334,3114,35,36
"Pritam, Amrita",Pinjar,337,14,14,3,Pooro rattled the chain.,"Pooro's home, Chatto village in Pinjar",NA,NA,NA,NA,NA,NA,Religion,248,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar","Pooro's home, Chatto village",Private,Hindu,Speculation,CREATED,NA,Chatto Village: Pooro's Home,NA,Pakistan,POINT(73.48151 32.574085),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,338,3112,35,36
"Pritam, Amrita",Pinjar,339,15,15,1,Rashida came running breathlessly towards her.,"Pooro's home, Chatto village in Pinjar",NA,NA,NA,NA,NA,NA,NA,297,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,"Shaikh, Rashida in Pinjar","Pooro's home, Chatto village",Private,Hindu,Speculation,CREATED,NA,Chatto Village: Pooro's Home,NA,Pakistan,POINT(73.48151 32.574085),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,338,3112,35,36
"Pritam, Amrita",Pinjar,342,15,15,1,Rashida came running breathlessly towards her.,"Pooro's home, Chatto village in Pinjar",NA,NA,NA,NA,NA,NA,NA,297,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,"Shaikh, Rashida in Pinjar","Pooro's home, Chatto village",Private,Hindu,Speculation,CREATED,NA,Chatto Village: Pooro's Home,NA,Pakistan,POINT(73.48151 32.574085),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,338,3112,35,36
"Pritam, Amrita",Pinjar,342,15,15,1,Rashida came running breathlessly towards her.,"Pooro's home, Chatto village in Pinjar",NA,NA,NA,NA,NA,NA,NA,248,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar","Pooro's home, Chatto village",Private,Hindu,Speculation,CREATED,NA,Chatto Village: Pooro's Home,NA,Pakistan,POINT(73.48151 32.574085),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,338,3112,35,36
"Pritam, Amrita",Pinjar,345,15,15,2,The third day the Maulvi came with another two or three men.,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,NA,347,Unknown,Maulvi,NA,11,Male,Single,Muslim,Definitional,NA,NA,NA,NA,NA,Present,"Unknown, Maulvi in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,POINT(73.548589 32.544534),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,334,3114,35,36
"Pritam, Amrita",Pinjar,345,15,15,2,The third day the Maulvi came with another two or three men.,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,NA,248,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,POINT(73.548589 32.544534),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,334,3114,35,36
"Pritam, Amrita",Pinjar,345,15,15,2,The third day the Maulvi came with another two or three men.,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,NA,297,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,"Shaikh, Rashida in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,POINT(73.548589 32.544534),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,334,3114,35,36
"Pritam, Amrita",Pinjar,350,16,16,1,Rashida packed is odds and ends,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,NA,248,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,POINT(73.548589 32.544534),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,334,3114,35,36
"Pritam, Amrita",Pinjar,350,16,16,1,Rashida packed is odds and ends,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,NA,297,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,"Shaikh, Rashida in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,POINT(73.548589 32.544534),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,334,3114,35,36
"Pritam, Amrita",Pinjar,350,16,16,1,Rashida packed is odds and ends,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,NA,353,Unknown,Rahima,NA,16,Male,Single,Muslim,Speculation,NA,NA,NA,NA,NA,Present,"Unknown, Rahima in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,POINT(73.548589 32.544534),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,334,3114,35,36
"Pritam, Amrita",Pinjar,385,21,22,2,Rashida was overcome with emotion. He had won over the Hindu girl.,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,Religion,248,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,POINT(73.548589 32.544534),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,334,3114,35,36
"Pritam, Amrita",Pinjar,385,21,22,2,Rashida was overcome with emotion. He had won over the Hindu girl.,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,Religion,297,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,"Shaikh, Rashida in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,POINT(73.548589 32.544534),NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,334,3114,35,36
